Time Stamp	Roll	Pitch	Yaw	X Velocity	Y Velocity	Latitude	Longitude
(s)	(°)	(°)	(°)	(m.s^-1)	(m.s^-1)	(°)	(°)
705.980	-1.732973	0.255876	-145.208866	0.002	-0.001	59.462025	18.135509
705.992	-1.732885	0.255811	-145.208743	0.002	-0.002	59.462025	18.135509
706.004	-1.732798	0.255745	-145.208633	0.002	-0.002	59.462025	18.135509
706.016	-1.732710	0.255680	-145.208510	0.002	-0.002	59.462025	18.135509
706.028	-1.732622	0.255615	-145.208401	0.002	-0.002	59.462025	18.135509
706.040	-1.732535	0.255549	-145.208278	0.002	-0.002	59.462025	18.135509
706.052	-1.732447	0.255484	-145.208169	0.002	-0.002	59.462025	18.135509
706.064	-1.732360	0.255419	-145.208046	0.002	-0.002	59.462025	18.135509
706.076	-1.732272	0.255353	-145.207923	0.002	-0.002	59.462025	18.135509
706.088	-1.732184	0.255288	-145.207814	0.002	-0.002	59.462025	18.135509
706.100	-1.732097	0.255223	-145.207691	0.002	-0.002	59.462025	18.135509
706.112	-1.732009	0.255157	-145.207581	0.002	-0.002	59.462025	18.135509
706.124	-1.731922	0.255092	-145.207459	0.002	-0.002	59.462025	18.135509
706.136	-1.731834	0.255027	-145.207349	0.002	-0.002	59.462025	18.135509
706.148	-1.731746	0.254961	-145.207226	0.002	-0.002	59.462025	18.135509
706.160	-1.731659	0.254896	-145.207103	0.002	-0.002	59.462025	18.135509
706.172	-1.731571	0.254831	-145.206994	0.002	-0.002	59.462025	18.135509
706.184	-1.731484	0.254766	-145.206871	0.002	-0.002	59.462025	18.135509
706.196	-1.731396	0.254700	-145.206762	0.002	-0.002	59.462025	18.135509
706.208	-1.731308	0.254635	-145.206639	0.002	-0.002	59.462025	18.135509
706.220	-1.731221	0.254570	-145.206530	0.002	-0.002	59.462025	18.135509
706.232	-1.731133	0.254504	-145.206407	0.002	-0.002	59.462025	18.135509
706.244	-1.731769	0.254680	-145.206270	0.003	-0.002	59.462025	18.135509
706.256	-1.731601	0.254606	-145.207021	0.002	-0.002	59.462025	18.135509
706.268	-1.730989	0.255178	-145.206775	0.002	-0.002	59.462025	18.135509
706.280	-1.731584	0.254591	-145.206584	0.003	-0.002	59.462025	18.135509
706.292	-1.730920	0.254434	-145.206571	0.002	-0.002	59.462025	18.135509
706.304	-1.731684	0.254656	-145.206557	0.003	-0.002	59.462025	18.135509
706.316	-1.731842	0.254193	-145.206325	0.003	-0.002	59.462025	18.135509
706.328	-1.731820	0.254158	-145.206174	0.003	-0.002	59.462025	18.135509
706.340	-1.731799	0.254124	-145.206024	0.003	-0.002	59.462025	18.135509
706.352	-1.731777	0.254090	-145.205888	0.003	-0.002	59.462025	18.135509
706.364	-1.731755	0.254056	-145.205737	0.003	-0.002	59.462025	18.135509
706.376	-1.731734	0.254021	-145.205587	0.003	-0.002	59.462025	18.135509
706.388	-1.731712	0.253987	-145.205450	0.003	-0.002	59.462025	18.135509
706.400	-1.731690	0.253953	-145.205300	0.003	-0.002	59.462025	18.135509
706.412	-1.731669	0.253919	-145.205150	0.003	-0.002	59.462025	18.135509
706.424	-1.731648	0.253884	-145.205013	0.003	-0.002	59.462025	18.135509
706.436	-1.731626	0.253850	-145.204863	0.003	-0.002	59.462025	18.135509
706.448	-1.731604	0.253816	-145.204713	0.003	-0.002	59.462025	18.135509
706.460	-1.731582	0.253781	-145.204576	0.003	-0.002	59.462025	18.135509
706.472	-1.731561	0.253747	-145.204426	0.003	-0.002	59.462025	18.135509
706.484	-1.731540	0.253713	-145.204276	0.003	-0.002	59.462025	18.135509
706.496	-1.731518	0.253679	-145.204139	0.003	-0.002	59.462025	18.135509
706.508	-1.731496	0.253644	-145.203989	0.003	-0.002	59.462025	18.135509
706.520	-1.731474	0.253610	-145.203839	0.003	-0.002	59.462025	18.135509
706.532	-1.731453	0.253576	-145.203688	0.003	-0.002	59.462025	18.135509
706.544	-1.731431	0.253542	-145.203552	0.003	-0.002	59.462025	18.135509
706.556	-1.731410	0.253507	-145.203401	0.003	-0.002	59.462025	18.135509
706.568	-1.731388	0.253473	-145.203265	0.003	-0.002	59.462025	18.135509
706.580	-1.731366	0.253439	-145.203115	0.003	-0.002	59.462025	18.135509
706.592	-1.731350	0.253475	-145.203169	0.003	-0.002	59.462025	18.135509
706.604	-1.731059	0.254146	-145.203770	0.002	-0.002	59.462025	18.135509
706.616	-1.732194	0.253887	-145.203456	0.003	-0.002	59.462025	18.135509
706.628	-1.731720	0.253454	-145.203907	0.002	-0.002	59.462025	18.135509
706.640	-1.731203	0.254820	-145.204166	0.003	-0.002	59.462025	18.135509
706.652	-1.731219	0.254015	-145.204180	0.003	-0.001	59.462025	18.135509
706.664	-1.730542	0.254148	-145.204822	0.002	-0.002	59.462025	18.135509
706.676	-1.730977	0.254788	-145.204945	0.002	-0.002	59.462025	18.135509
706.688	-1.731086	0.254685	-145.204904	0.002	-0.002	59.462025	18.135509
706.700	-1.731195	0.254582	-145.204849	0.002	-0.002	59.462025	18.135509
706.712	-1.731304	0.254480	-145.204808	0.002	-0.002	59.462025	18.135509
