Time Stamp	Roll	Pitch	Yaw	X Velocity	Y Velocity	Latitude	Longitude
(s)	(°)	(°)	(°)	(m.s^-1)	(m.s^-1)	(°)	(°)
1069.910	-1.511684	0.301463	-146.291915	-0.018	0.009	59.462020	18.135503
1069.929	-1.513628	0.301721	-146.292052	-0.017	0.008	59.462020	18.135503
1069.948	-1.513623	0.302501	-146.292243	-0.018	0.008	59.462020	18.135503
1069.967	-1.513758	0.302137	-146.292393	-0.018	0.008	59.462020	18.135503
1069.986	-1.513891	0.301773	-146.292557	-0.017	0.008	59.462020	18.135503
1070.005	-1.514026	0.301409	-146.292707	-0.017	0.008	59.462020	18.135503
1070.024	-1.514160	0.301045	-146.292871	-0.017	0.008	59.462020	18.135503
1070.043	-1.514294	0.300680	-146.293035	-0.017	0.008	59.462020	18.135503
1070.062	-1.514428	0.300316	-146.293185	-0.017	0.008	59.462020	18.135503
1070.081	-1.514562	0.299952	-146.293349	-0.017	0.008	59.462020	18.135503
1070.100	-1.514696	0.299588	-146.293500	-0.017	0.008	59.462020	18.135503
1070.119	-1.514831	0.299224	-146.293663	-0.017	0.008	59.462020	18.135503
1070.138	-1.514965	0.298860	-146.293814	-0.017	0.008	59.462020	18.135503
1070.157	-1.515099	0.298496	-146.293978	-0.017	0.008	59.462020	18.135503
1070.176	-1.515233	0.298132	-146.294128	-0.017	0.008	59.462020	18.135503
1070.195	-1.515367	0.297768	-146.294292	-0.017	0.008	59.462020	18.135503
1070.214	-1.515501	0.297404	-146.294442	-0.016	0.008	59.462020	18.135503
1070.233	-1.516090	0.298183	-146.294893	-0.017	0.009	59.462020	18.135503
1070.252	-1.515300	0.298407	-146.295398	-0.017	0.009	59.462020	18.135503
1070.271	-1.516313	0.298540	-146.295480	-0.016	0.008	59.462020	18.135503
1070.290	-1.514408	0.299714	-146.295385	-0.017	0.010	59.462020	18.135503
1070.309	-1.515299	0.298742	-146.295781	-0.017	0.010	59.462020	18.135503
1070.328	-1.515148	0.298411	-146.296122	-0.017	0.010	59.462020	18.135503
1070.347	-1.514998	0.298079	-146.296478	-0.017	0.010	59.462020	18.135503
1070.366	-1.514847	0.297748	-146.296819	-0.017	0.010	59.462020	18.135503
1070.385	-1.514696	0.297416	-146.297174	-0.016	0.009	59.462020	18.135503
1070.404	-1.514546	0.297085	-146.297529	-0.016	0.009	59.462020	18.135503
1070.423	-1.514395	0.296753	-146.297871	-0.016	0.009	59.462020	18.135503
1070.442	-1.514244	0.296422	-146.298226	-0.016	0.009	59.462020	18.135503
1070.461	-1.514094	0.296090	-146.298581	-0.016	0.009	59.462020	18.135503
1070.480	-1.513943	0.295759	-146.298923	-0.016	0.009	59.462020	18.135503
1070.499	-1.513792	0.295427	-146.299278	-0.016	0.009	59.462020	18.135503
1070.518	-1.513641	0.295096	-146.299633	-0.016	0.009	59.462020	18.135503
1070.537	-1.513491	0.294764	-146.299975	-0.016	0.009	59.462020	18.135503
1070.556	-1.513340	0.294433	-146.300330	-0.016	0.009	59.462020	18.135503
1070.575	-1.513983	0.294098	-146.300863	-0.016	0.009	59.462020	18.135503
1070.594	-1.512612	0.294445	-146.301149	-0.016	0.008	59.462020	18.135503
1070.613	-1.512926	0.293499	-146.301464	-0.015	0.009	59.462020	18.135503
1070.632	-1.512906	0.293839	-146.301914	-0.015	0.009	59.462020	18.135503
1070.651	-1.511881	0.293131	-146.302051	-0.016	0.010	59.462020	18.135503
1070.670	-1.512014	0.293055	-146.302256	-0.016	0.010	59.462020	18.135503
1070.689	-1.512146	0.292980	-146.302447	-0.016	0.009	59.462020	18.135503
1070.708	-1.512278	0.292904	-146.302652	-0.016	0.009	59.462020	18.135503
1070.727	-1.512410	0.292829	-146.302857	-0.015	0.009	59.462020	18.135503
1070.746	-1.512543	0.292753	-146.303062	-0.015	0.009	59.462020	18.135503
1070.765	-1.512675	0.292678	-146.303267	-0.015	0.009	59.462020	18.135503
1070.784	-1.512808	0.292602	-146.303472	-0.015	0.009	59.462020	18.135503
1070.803	-1.512940	0.292527	-146.303663	-0.015	0.009	59.462020	18.135503
1070.822	-1.513073	0.292452	-146.303868	-0.015	0.009	59.462020	18.135503
1070.841	-1.513205	0.292376	-146.304073	-0.015	0.009	59.462020	18.135503
1070.860	-1.513337	0.292301	-146.304278	-0.015	0.009	59.462020	18.135503
1070.879	-1.513470	0.292225	-146.304483	-0.015	0.009	59.462020	18.135503
1070.898	-1.513602	0.292150	-146.304687	-0.015	0.008	59.462020	18.135503
1070.917	-1.513673	0.292201	-146.304906	-0.015	0.009	59.462020	18.135503
1070.936	-1.513494	0.293042	-146.305138	-0.015	0.010	59.462020	18.135503
1070.955	-1.513391	0.292202	-146.305534	-0.016	0.008	59.462020	18.135503
1070.974	-1.513968	0.291913	-146.305357	-0.016	0.009	59.462020	18.135503
1070.993	-1.514334	0.290992	-146.305261	-0.014	0.009	59.462020	18.135503
1071.012	-1.514445	0.291006	-146.305316	-0.014	0.009	59.462020	18.135503
1071.031	-1.514556	0.291019	-146.305370	-0.014	0.009	59.462020	18.135503
1071.050	-1.514668	0.291032	-146.305411	-0.014	0.009	59.462020	18.135503
1071.069	-1.514779	0.291045	-146.305466	-0.014	0.009	59.462020	18.135503
1071.088	-1.514890	0.291059	-146.305521	-0.014	0.009	59.462020	18.135503
1071.107	-1.515002	0.291072	-146.305575	-0.014	0.009	59.462020	18.135503
1071.126	-1.515113	0.291085	-146.305616	-0.014	0.009	59.462020	18.135503
1071.145	-1.515224	0.291099	-146.305671	-0.014	0.009	59.462020	18.135503
1071.164	-1.515336	0.291112	-146.305712	-0.014	0.009	59.462020	18.135503
1071.183	-1.515447	0.291125	-146.305767	-0.014	0.009	59.462020	18.135503
1071.202	-1.515558	0.291138	-146.305821	-0.014	0.009	59.462020	18.135503
1071.221	-1.515670	0.291152	-146.305862	-0.014	0.009	59.462020	18.135503
1071.240	-1.515781	0.291165	-146.305917	-0.013	0.009	59.462020	18.135503
1071.259	-1.515892	0.291178	-146.305971	-0.013	0.009	59.462020	18.135503
1071.278	-1.516004	0.291191	-146.306026	-0.013	0.009	59.462020	18.135503
1071.297	-1.515195	0.291371	-146.305439	-0.015	0.009	59.462020	18.135503
1071.316	-1.516154	0.291543	-146.305425	-0.014	0.009	59.462020	18.135503
1071.335	-1.515764	0.291925	-146.305439	-0.014	0.009	59.462020	18.135503
1071.354	-1.516034	0.289839	-146.305480	-0.013	0.007	59.462020	18.135503
1071.373	-1.516254	0.290882	-146.305343	-0.014	0.007	59.462020	18.135503
1071.392	-1.516191	0.290860	-146.305466	-0.014	0.007	59.462020	18.135503
1071.411	-1.516128	0.290837	-146.305589	-0.014	0.007	59.462020	18.135503
1071.430	-1.516065	0.290815	-146.305726	-0.014	0.007	59.462020	18.135503
1071.449	-1.516001	0.290792	-146.305849	-0.014	0.008	59.462020	18.135503
1071.468	-1.515938	0.290770	-146.305971	-0.014	0.008	59.462020	18.135503
1071.487	-1.515875	0.290747	-146.306094	-0.014	0.008	59.462020	18.135503
1071.506	-1.515812	0.290725	-146.306217	-0.014	0.008	59.462020	18.135503
1071.525	-1.515749	0.290702	-146.306340	-0.014	0.008	59.462020	18.135503
1071.544	-1.515686	0.290680	-146.306477	-0.014	0.008	59.462020	18.135503
1071.563	-1.515623	0.290657	-146.306600	-0.014	0.008	59.462020	18.135503
1071.582	-1.515560	0.290635	-146.306723	-0.014	0.008	59.462020	18.135503
1071.601	-1.515497	0.290612	-146.306846	-0.014	0.008	59.462020	18.135503
1071.620	-1.515434	0.290590	-146.306969	-0.014	0.008	59.462020	18.135503
1071.639	-1.515370	0.290567	-146.307092	-0.014	0.009	59.462020	18.135503
1071.658	-1.516292	0.289686	-146.306573	-0.014	0.010	59.462020	18.135503
1071.677	-1.515798	0.289983	-146.306532	-0.013	0.009	59.462020	18.135503
1071.696	-1.514882	0.288815	-146.307064	-0.014	0.008	59.462020	18.135503
1071.715	-1.516140	0.289074	-146.307775	-0.015	0.008	59.462020	18.135503
1071.734	-1.515452	0.289044	-146.307515	-0.014	0.008	59.462020	18.135503
1071.753	-1.515561	0.289176	-146.307542	-0.014	0.008	59.462020	18.135503
1071.772	-1.515670	0.289308	-146.307570	-0.014	0.009	59.462020	18.135503
1071.791	-1.515779	0.289441	-146.307611	-0.014	0.009	59.462020	18.135503
1071.810	-1.515888	0.289573	-146.307638	-0.014	0.009	59.462020	18.135503
1071.829	-1.515997	0.289705	-146.307665	-0.014	0.009	59.462020	18.135503
1071.848	-1.516106	0.289838	-146.307706	-0.014	0.009	59.462020	18.135503
1071.867	-1.516215	0.289970	-146.307734	-0.014	0.009	59.462020	18.135503
1071.886	-1.516324	0.290102	-146.307761	-0.014	0.009	59.462020	18.135503
1071.905	-1.516433	0.290235	-146.307802	-0.013	0.009	59.462020	18.135503
1071.924	-1.516970	0.289667	-146.307365	-0.013	0.009	59.462020	18.135503
1071.943	-1.516489	0.289220	-146.307911	-0.014	0.011	59.462020	18.135503
1071.962	-1.517386	0.287850	-146.307870	-0.013	0.010	59.462020	18.135503
1071.981	-1.517047	0.287446	-146.307624	-0.013	0.010	59.462020	18.135503
1072.000	-1.516003	0.287045	-146.307215	-0.013	0.010	59.462020	18.135503
1072.019	-1.515998	0.287063	-146.307283	-0.013	0.010	59.462020	18.135503
1072.038	-1.515993	0.287081	-146.307338	-0.013	0.010	59.462020	18.135503
1072.057	-1.515987	0.287098	-146.307406	-0.013	0.010	59.462020	18.135503
1072.076	-1.515982	0.287116	-146.307460	-0.013	0.010	59.462020	18.135503
1072.095	-1.515976	0.287134	-146.307529	-0.013	0.010	59.462020	18.135503
1072.114	-1.515971	0.287151	-146.307583	-0.013	0.010	59.462020	18.135503
1072.133	-1.515965	0.287169	-146.307652	-0.013	0.009	59.462020	18.135503
1072.152	-1.515960	0.287187	-146.307706	-0.013	0.009	59.462020	18.135503
1072.171	-1.515955	0.287204	-146.307775	-0.013	0.009	59.462020	18.135503
